case:concept:name,concept:name,time:timestamp,org:resource,booking_period,desk,product,currency,counterparty_tier,notional_usd
BK-0003,Confirm Booking,2026-01-05T13:35:00Z,confirmations_02,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0003,Post to Ledger,2026-01-05T13:42:00Z,ledger_bot_01,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0003,Booking Complete,2026-01-05T13:45:00Z,workflow_bot_01,baseline,FX,FX Forward,EUR,Tier 1,36367000.0
BK-0004,Trade Captured,2026-01-05T14:00:00Z,trader_02,baseline,Rates,Interest Rate Swap,EUR,Tier 1,16826000.0
BK-0004,Validate Economics,2026-01-05T14:15:00Z,ops_analyst_01,baseline,Rates,Interest Rate Swap,EUR,Tier 1,16826000.0
BK-0004,Enrich Counterparty,2026-01-05T14:22:00Z,static_data_01,baseline,Rates,Interest Rate Swap,EUR,Tier 1,16826000.0
BK-0004,Compliance Check,2026-01-05T14:33:00Z,compliance_02,baseline,Rates,Interest Rate Swap,EUR,Tier 1,16826000.0
BK-0004,Credit Check,2026-01-05T14:49:00Z,credit_01,baseline,Rates,Interest Rate Swap,EUR,Tier 1,16826000.0
BK-0004,Confirm Booking,2026-01-05T15:10:00Z,confirmations_01,baseline,Rates,Interest Rate Swap,EUR,Tier 1,16826000.0
BK-0004,Post to Ledger,2026-01-05T15:17:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,EUR,Tier 1,16826000.0
BK-0004,Booking Complete,2026-01-05T15:20:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,EUR,Tier 1,16826000.0
BK-0005,Trade Captured,2026-01-06T08:00:00Z,trader_02,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Validate Economics,2026-01-06T08:11:00Z,ops_analyst_03,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Amend Booking,2026-01-06T08:32:00Z,ops_analyst_03,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Validate Economics,2026-01-06T08:43:00Z,ops_analyst_03,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Enrich Counterparty,2026-01-06T08:54:00Z,static_data_02,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Compliance Check,2026-01-06T09:11:00Z,compliance_01,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Credit Check,2026-01-06T09:25:00Z,credit_01,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Confirm Booking,2026-01-06T09:43:00Z,confirmations_02,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Post to Ledger,2026-01-06T09:48:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0005,Booking Complete,2026-01-06T09:50:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 2,13304000.0
BK-0006,Trade Captured,2026-01-06T10:00:00Z,trader_02,baseline,FX,FX Forward,JPY,Tier 3,11083000.0
BK-0006,Validate Economics,2026-01-06T10:17:00Z,ops_analyst_01,baseline,FX,FX Forward,JPY,Tier 3,11083000.0
BK-0006,Enrich Counterparty,2026-01-06T10:29:00Z,static_data_02,baseline,FX,FX Forward,JPY,Tier 3,11083000.0
BK-0006,Compliance Check,2026-01-06T10:41:00Z,compliance_02,baseline,FX,FX Forward,JPY,Tier 3,11083000.0
BK-0006,Credit Check,2026-01-06T10:52:00Z,credit_01,baseline,FX,FX Forward,JPY,Tier 3,11083000.0
BK-0006,Confirm Booking,2026-01-06T11:10:00Z,confirmations_01,baseline,FX,FX Forward,JPY,Tier 3,11083000.0
BK-0006,Post to Ledger,2026-01-06T11:15:00Z,ledger_bot_01,baseline,FX,FX Forward,JPY,Tier 3,11083000.0
BK-0006,Booking Complete,2026-01-06T11:18:00Z,workflow_bot_01,baseline,FX,FX Forward,JPY,Tier 3,11083000.0
BK-0007,Trade Captured,2026-01-06T12:00:00Z,trader_02,baseline,Rates,Interest Rate Swap,USD,Tier 3,23071000.0
BK-0007,Validate Economics,2026-01-06T12:13:00Z,ops_analyst_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,23071000.0
BK-0007,Enrich Counterparty,2026-01-06T12:29:00Z,static_data_02,baseline,Rates,Interest Rate Swap,USD,Tier 3,23071000.0
BK-0007,Compliance Check,2026-01-06T12:43:00Z,compliance_02,baseline,Rates,Interest Rate Swap,USD,Tier 3,23071000.0
BK-0007,Credit Check,2026-01-06T12:58:00Z,credit_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,23071000.0
BK-0007,Confirm Booking,2026-01-06T13:19:00Z,confirmations_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,23071000.0
BK-0007,Post to Ledger,2026-01-06T13:29:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,23071000.0
BK-0007,Booking Complete,2026-01-06T13:32:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,23071000.0
BK-0008,Trade Captured,2026-01-06T14:00:00Z,trader_02,baseline,FX,FX Forward,EUR,Tier 1,10909000.0
BK-0008,Validate Economics,2026-01-06T14:08:00Z,ops_analyst_02,baseline,FX,FX Forward,EUR,Tier 1,10909000.0
BK-0008,Enrich Counterparty,2026-01-06T14:17:00Z,static_data_02,baseline,FX,FX Forward,EUR,Tier 1,10909000.0
BK-0008,Compliance Check,2026-01-06T14:27:00Z,compliance_01,baseline,FX,FX Forward,EUR,Tier 1,10909000.0
BK-0008,Credit Check,2026-01-06T14:42:00Z,credit_01,baseline,FX,FX Forward,EUR,Tier 1,10909000.0
BK-0008,Confirm Booking,2026-01-06T15:07:00Z,confirmations_01,baseline,FX,FX Forward,EUR,Tier 1,10909000.0
BK-0008,Post to Ledger,2026-01-06T15:25:00Z,ledger_bot_01,baseline,FX,FX Forward,EUR,Tier 1,10909000.0
BK-0008,Booking Complete,2026-01-06T15:28:00Z,workflow_bot_01,baseline,FX,FX Forward,EUR,Tier 1,10909000.0
BK-0009,Trade Captured,2026-01-07T08:00:00Z,trader_02,baseline,Rates,Interest Rate Swap,USD,Tier 1,11879000.0
BK-0009,Validate Economics,2026-01-07T08:10:00Z,ops_analyst_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,11879000.0
BK-0009,Enrich Counterparty,2026-01-07T08:23:00Z,static_data_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,11879000.0
BK-0009,Compliance Check,2026-01-07T08:39:00Z,compliance_02,baseline,Rates,Interest Rate Swap,USD,Tier 1,11879000.0
BK-0009,Credit Check,2026-01-07T08:49:00Z,credit_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,11879000.0
BK-0009,Confirm Booking,2026-01-07T09:02:00Z,confirmations_02,baseline,Rates,Interest Rate Swap,USD,Tier 1,11879000.0
BK-0009,Post to Ledger,2026-01-07T09:10:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,11879000.0
BK-0009,Booking Complete,2026-01-07T09:15:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,11879000.0
BK-0010,Trade Captured,2026-01-07T10:00:00Z,trader_03,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Validate Economics,2026-01-07T10:10:00Z,ops_analyst_02,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Amend Booking,2026-01-07T10:24:00Z,ops_analyst_02,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Validate Economics,2026-01-07T10:39:00Z,ops_analyst_03,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Enrich Counterparty,2026-01-07T10:52:00Z,static_data_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Compliance Check,2026-01-07T11:09:00Z,compliance_02,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Credit Check,2026-01-07T11:23:00Z,credit_02,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Confirm Booking,2026-01-07T11:40:00Z,confirmations_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Post to Ledger,2026-01-07T11:47:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0010,Booking Complete,2026-01-07T11:49:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 3,8987000.0
BK-0011,Trade Captured,2026-01-07T12:00:00Z,trader_01,baseline,Equities,Equity Option,GBP,Tier 2,24643000.0
BK-0011,Validate Economics,2026-01-07T12:13:00Z,ops_analyst_02,baseline,Equities,Equity Option,GBP,Tier 2,24643000.0
BK-0011,Enrich Counterparty,2026-01-07T12:24:00Z,static_data_01,baseline,Equities,Equity Option,GBP,Tier 2,24643000.0
BK-0011,Compliance Check,2026-01-07T12:37:00Z,compliance_01,baseline,Equities,Equity Option,GBP,Tier 2,24643000.0
BK-0011,Credit Check,2026-01-07T12:53:00Z,credit_01,baseline,Equities,Equity Option,GBP,Tier 2,24643000.0
BK-0011,Confirm Booking,2026-01-07T13:24:00Z,confirmations_01,baseline,Equities,Equity Option,GBP,Tier 2,24643000.0
BK-0011,Post to Ledger,2026-01-07T13:30:00Z,ledger_bot_01,baseline,Equities,Equity Option,GBP,Tier 2,24643000.0
BK-0011,Booking Complete,2026-01-07T13:32:00Z,workflow_bot_01,baseline,Equities,Equity Option,GBP,Tier 2,24643000.0
BK-0012,Trade Captured,2026-01-07T14:00:00Z,trader_01,baseline,FX,FX Forward,GBP,Tier 1,16397000.0
BK-0012,Validate Economics,2026-01-07T14:09:00Z,ops_analyst_01,baseline,FX,FX Forward,GBP,Tier 1,16397000.0
BK-0012,Enrich Counterparty,2026-01-07T14:21:00Z,static_data_01,baseline,FX,FX Forward,GBP,Tier 1,16397000.0
BK-0012,Compliance Check,2026-01-07T14:34:00Z,compliance_01,baseline,FX,FX Forward,GBP,Tier 1,16397000.0
BK-0012,Credit Check,2026-01-07T14:47:00Z,credit_02,baseline,FX,FX Forward,GBP,Tier 1,16397000.0
BK-0012,Confirm Booking,2026-01-07T15:09:00Z,confirmations_01,baseline,FX,FX Forward,GBP,Tier 1,16397000.0
BK-0012,Post to Ledger,2026-01-07T15:17:00Z,ledger_bot_01,baseline,FX,FX Forward,GBP,Tier 1,16397000.0
BK-0012,Booking Complete,2026-01-07T15:21:00Z,workflow_bot_01,baseline,FX,FX Forward,GBP,Tier 1,16397000.0
BK-0013,Trade Captured,2026-01-08T08:00:00Z,trader_01,baseline,FX,FX Forward,EUR,Tier 2,8762000.0
BK-0013,Validate Economics,2026-01-08T08:11:00Z,ops_analyst_01,baseline,FX,FX Forward,EUR,Tier 2,8762000.0
BK-0013,Enrich Counterparty,2026-01-08T08:18:00Z,static_data_02,baseline,FX,FX Forward,EUR,Tier 2,8762000.0
BK-0013,Compliance Check,2026-01-08T08:33:00Z,compliance_01,baseline,FX,FX Forward,EUR,Tier 2,8762000.0
BK-0013,Credit Check,2026-01-08T08:49:00Z,credit_01,baseline,FX,FX Forward,EUR,Tier 2,8762000.0
BK-0013,Confirm Booking,2026-01-08T09:06:00Z,confirmations_02,baseline,FX,FX Forward,EUR,Tier 2,8762000.0
BK-0013,Post to Ledger,2026-01-08T09:17:00Z,ledger_bot_01,baseline,FX,FX Forward,EUR,Tier 2,8762000.0
BK-0013,Booking Complete,2026-01-08T09:20:00Z,workflow_bot_01,baseline,FX,FX Forward,EUR,Tier 2,8762000.0
BK-0014,Trade Captured,2026-01-08T10:00:00Z,trader_01,baseline,Equities,Equity Option,USD,Tier 3,18478000.0
BK-0014,Validate Economics,2026-01-08T10:13:00Z,ops_analyst_03,baseline,Equities,Equity Option,USD,Tier 3,18478000.0
BK-0014,Enrich Counterparty,2026-01-08T10:23:00Z,static_data_01,baseline,Equities,Equity Option,USD,Tier 3,18478000.0
BK-0014,Compliance Check,2026-01-08T10:39:00Z,compliance_01,baseline,Equities,Equity Option,USD,Tier 3,18478000.0
BK-0014,Credit Check,2026-01-08T11:03:00Z,credit_02,baseline,Equities,Equity Option,USD,Tier 3,18478000.0
BK-0014,Confirm Booking,2026-01-08T11:19:00Z,confirmations_02,baseline,Equities,Equity Option,USD,Tier 3,18478000.0
BK-0014,Post to Ledger,2026-01-08T11:24:00Z,ledger_bot_01,baseline,Equities,Equity Option,USD,Tier 3,18478000.0
BK-0014,Booking Complete,2026-01-08T11:27:00Z,workflow_bot_01,baseline,Equities,Equity Option,USD,Tier 3,18478000.0
BK-0015,Trade Captured,2026-01-08T12:00:00Z,trader_03,baseline,FX,FX Forward,USD,Tier 2,13382000.0
BK-0015,Validate Economics,2026-01-08T12:11:00Z,ops_analyst_03,baseline,FX,FX Forward,USD,Tier 2,13382000.0
BK-0015,Enrich Counterparty,2026-01-08T12:20:00Z,static_data_02,baseline,FX,FX Forward,USD,Tier 2,13382000.0
BK-0015,Compliance Check,2026-01-08T12:32:00Z,compliance_01,baseline,FX,FX Forward,USD,Tier 2,13382000.0
BK-0015,Credit Check,2026-01-08T12:41:00Z,credit_02,baseline,FX,FX Forward,USD,Tier 2,13382000.0
BK-0015,Confirm Booking,2026-01-08T12:54:00Z,confirmations_02,baseline,FX,FX Forward,USD,Tier 2,13382000.0
BK-0015,Post to Ledger,2026-01-08T13:00:00Z,ledger_bot_01,baseline,FX,FX Forward,USD,Tier 2,13382000.0
BK-0015,Booking Complete,2026-01-08T13:02:00Z,workflow_bot_01,baseline,FX,FX Forward,USD,Tier 2,13382000.0
BK-0016,Trade Captured,2026-01-08T14:00:00Z,trader_01,baseline,Equities,Equity Option,USD,Tier 1,16582000.0
BK-0016,Validate Economics,2026-01-08T14:19:00Z,ops_analyst_01,baseline,Equities,Equity Option,USD,Tier 1,16582000.0
BK-0016,Enrich Counterparty,2026-01-08T14:28:00Z,static_data_01,baseline,Equities,Equity Option,USD,Tier 1,16582000.0
BK-0016,Compliance Check,2026-01-08T14:47:00Z,compliance_02,baseline,Equities,Equity Option,USD,Tier 1,16582000.0
BK-0016,Credit Check,2026-01-08T15:00:00Z,credit_01,baseline,Equities,Equity Option,USD,Tier 1,16582000.0
BK-0016,Confirm Booking,2026-01-08T15:19:00Z,confirmations_01,baseline,Equities,Equity Option,USD,Tier 1,16582000.0
BK-0016,Post to Ledger,2026-01-08T15:26:00Z,ledger_bot_01,baseline,Equities,Equity Option,USD,Tier 1,16582000.0
BK-0016,Booking Complete,2026-01-08T15:29:00Z,workflow_bot_01,baseline,Equities,Equity Option,USD,Tier 1,16582000.0
BK-0017,Trade Captured,2026-01-09T08:00:00Z,trader_01,baseline,FX,FX Forward,USD,Tier 2,46713000.0
BK-0017,Validate Economics,2026-01-09T08:13:00Z,ops_analyst_03,baseline,FX,FX Forward,USD,Tier 2,46713000.0
BK-0017,Enrich Counterparty,2026-01-09T08:23:00Z,static_data_02,baseline,FX,FX Forward,USD,Tier 2,46713000.0
BK-0017,Compliance Check,2026-01-09T08:35:00Z,compliance_02,baseline,FX,FX Forward,USD,Tier 2,46713000.0
BK-0017,Credit Check,2026-01-09T08:49:00Z,credit_01,baseline,FX,FX Forward,USD,Tier 2,46713000.0
BK-0017,Confirm Booking,2026-01-09T09:25:00Z,confirmations_02,baseline,FX,FX Forward,USD,Tier 2,46713000.0
BK-0017,Post to Ledger,2026-01-09T09:34:00Z,ledger_bot_01,baseline,FX,FX Forward,USD,Tier 2,46713000.0
BK-0017,Booking Complete,2026-01-09T09:36:00Z,workflow_bot_01,baseline,FX,FX Forward,USD,Tier 2,46713000.0
BK-0018,Trade Captured,2026-01-09T10:00:00Z,trader_02,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Validate Economics,2026-01-09T10:14:00Z,ops_analyst_03,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Amend Booking,2026-01-09T10:37:00Z,ops_analyst_01,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Validate Economics,2026-01-09T10:51:00Z,ops_analyst_01,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Enrich Counterparty,2026-01-09T11:00:00Z,static_data_02,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Compliance Check,2026-01-09T11:16:00Z,compliance_02,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Credit Check,2026-01-09T11:29:00Z,credit_02,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Supervisor Approval,2026-01-09T12:03:00Z,supervisor_02,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Confirm Booking,2026-01-09T12:24:00Z,confirmations_02,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Post to Ledger,2026-01-09T12:36:00Z,ledger_bot_01,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0018,Booking Complete,2026-01-09T12:37:00Z,workflow_bot_01,baseline,FX,FX Forward,EUR,Tier 1,53402000.0
BK-0019,Trade Captured,2026-01-09T12:00:00Z,trader_01,baseline,FX,FX Forward,EUR,Tier 1,16536000.0
BK-0019,Validate Economics,2026-01-09T12:19:00Z,ops_analyst_02,baseline,FX,FX Forward,EUR,Tier 1,16536000.0
BK-0019,Enrich Counterparty,2026-01-09T12:26:00Z,static_data_02,baseline,FX,FX Forward,EUR,Tier 1,16536000.0
BK-0019,Compliance Check,2026-01-09T12:40:00Z,compliance_01,baseline,FX,FX Forward,EUR,Tier 1,16536000.0
BK-0019,Credit Check,2026-01-09T12:54:00Z,credit_01,baseline,FX,FX Forward,EUR,Tier 1,16536000.0
BK-0019,Confirm Booking,2026-01-09T13:12:00Z,confirmations_02,baseline,FX,FX Forward,EUR,Tier 1,16536000.0
BK-0019,Post to Ledger,2026-01-09T13:24:00Z,ledger_bot_01,baseline,FX,FX Forward,EUR,Tier 1,16536000.0
BK-0019,Booking Complete,2026-01-09T13:28:00Z,workflow_bot_01,baseline,FX,FX Forward,EUR,Tier 1,16536000.0
BK-0020,Trade Captured,2026-01-09T14:00:00Z,trader_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0020,Validate Economics,2026-01-09T14:11:00Z,ops_analyst_03,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0020,Enrich Counterparty,2026-01-09T14:21:00Z,static_data_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0020,Compliance Check,2026-01-09T14:41:00Z,compliance_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0020,Credit Check,2026-01-09T14:51:00Z,credit_02,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0020,Supervisor Approval,2026-01-09T15:24:00Z,supervisor_02,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0020,Confirm Booking,2026-01-09T15:52:00Z,confirmations_02,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0020,Post to Ledger,2026-01-09T16:05:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0020,Booking Complete,2026-01-09T16:09:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,USD,Tier 1,80837000.0
BK-0021,Trade Captured,2026-01-12T08:00:00Z,trader_01,baseline,Equities,Equity Option,USD,Tier 3,14817000.0
BK-0021,Validate Economics,2026-01-12T08:14:00Z,ops_analyst_03,baseline,Equities,Equity Option,USD,Tier 3,14817000.0
BK-0021,Enrich Counterparty,2026-01-12T08:22:00Z,static_data_02,baseline,Equities,Equity Option,USD,Tier 3,14817000.0
BK-0021,Compliance Check,2026-01-12T08:37:00Z,compliance_02,baseline,Equities,Equity Option,USD,Tier 3,14817000.0
BK-0021,Credit Check,2026-01-12T08:49:00Z,credit_02,baseline,Equities,Equity Option,USD,Tier 3,14817000.0
BK-0021,Confirm Booking,2026-01-12T09:11:00Z,confirmations_01,baseline,Equities,Equity Option,USD,Tier 3,14817000.0
BK-0021,Post to Ledger,2026-01-12T09:20:00Z,ledger_bot_01,baseline,Equities,Equity Option,USD,Tier 3,14817000.0
BK-0021,Booking Complete,2026-01-12T09:22:00Z,workflow_bot_01,baseline,Equities,Equity Option,USD,Tier 3,14817000.0
BK-0022,Trade Captured,2026-01-12T10:00:00Z,trader_02,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0022,Validate Economics,2026-01-12T10:10:00Z,ops_analyst_03,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0022,Enrich Counterparty,2026-01-12T10:16:00Z,static_data_01,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0022,Compliance Check,2026-01-12T10:39:00Z,compliance_01,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0022,Credit Check,2026-01-12T10:57:00Z,credit_02,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0022,Supervisor Approval,2026-01-12T11:27:00Z,supervisor_01,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0022,Confirm Booking,2026-01-12T11:54:00Z,confirmations_02,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0022,Post to Ledger,2026-01-12T12:03:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0022,Booking Complete,2026-01-12T12:06:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,GBP,Tier 2,73453000.0
BK-0023,Trade Captured,2026-01-12T12:00:00Z,trader_01,baseline,FX,FX Forward,USD,Tier 1,19494000.0
BK-0023,Validate Economics,2026-01-12T12:09:00Z,ops_analyst_03,baseline,FX,FX Forward,USD,Tier 1,19494000.0
BK-0023,Enrich Counterparty,2026-01-12T12:19:00Z,static_data_01,baseline,FX,FX Forward,USD,Tier 1,19494000.0
BK-0023,Compliance Check,2026-01-12T12:31:00Z,compliance_02,baseline,FX,FX Forward,USD,Tier 1,19494000.0
BK-0023,Credit Check,2026-01-12T12:42:00Z,credit_01,baseline,FX,FX Forward,USD,Tier 1,19494000.0
BK-0023,Confirm Booking,2026-01-12T13:07:00Z,confirmations_02,baseline,FX,FX Forward,USD,Tier 1,19494000.0
BK-0023,Post to Ledger,2026-01-12T13:15:00Z,ledger_bot_01,baseline,FX,FX Forward,USD,Tier 1,19494000.0
BK-0023,Booking Complete,2026-01-12T13:19:00Z,workflow_bot_01,baseline,FX,FX Forward,USD,Tier 1,19494000.0
BK-0024,Trade Captured,2026-01-12T14:00:00Z,trader_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0024,Validate Economics,2026-01-12T14:19:00Z,ops_analyst_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0024,Enrich Counterparty,2026-01-12T14:28:00Z,static_data_02,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0024,Compliance Check,2026-01-12T14:50:00Z,compliance_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0024,Credit Check,2026-01-12T14:59:00Z,credit_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0024,Supervisor Approval,2026-01-12T15:21:00Z,supervisor_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0024,Confirm Booking,2026-01-12T15:37:00Z,confirmations_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0024,Post to Ledger,2026-01-12T15:46:00Z,ledger_bot_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0024,Booking Complete,2026-01-12T15:49:00Z,workflow_bot_01,baseline,Rates,Interest Rate Swap,JPY,Tier 1,125240000.0
BK-0025,Trade Captured,2026-01-12T08:00:00Z,trader_01,baseline,FX,FX Forward,JPY,Tier 3,15343000.0
BK-0025,Validate Economics,2026-01-12T08:15:00Z,ops_analyst_02,baseline,FX,FX Forward,JPY,Tier 3,15343000.0
BK-0025,Enrich Counterparty,2026-01-12T08:23:00Z,static_data_02,baseline,FX,FX Forward,JPY,Tier 3,15343000.0
BK-0025,Compliance Check,2026-01-12T08:39:00Z,compliance_02,baseline,FX,FX Forward,JPY,Tier 3,15343000.0
BK-0025,Credit Check,2026-01-12T08:54:00Z,credit_01,baseline,FX,FX Forward,JPY,Tier 3,15343000.0
BK-0025,Confirm Booking,2026-01-12T09:17:00Z,confirmations_01,baseline,FX,FX Forward,JPY,Tier 3,15343000.0
